"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"196","P05",35,"P05 GemsCued","GemsCued",3264.639052,3301.7100154,-13982,17246.639052,17283.7100154
"197","P05",36,"P05 GemsCued","GemsCued",3310.5689749,3326.9022047,-13982,17292.5689749,17308.9022047
"198","P05",37,"P05 GemsCued","GemsCued",3334.8936347,3377.1697965,-13982,17316.8936347,17359.1697965
"199","P05",38,"P05 GemsCued","GemsCued",3383.2259418,3423.3499651,-13982,17365.2259418,17405.3499651
"200","P05",39,"P05 GemsCued","GemsCued",3434.361094,3464.6251263,-13982,17416.361094,17446.6251263
"201","P06",0,"P06 Baseline","Baseline",444.620110899999,479.4720662,-16639,17083.6201109,17118.4720662
"202","P06",1,"P06 Baseline","Baseline",501.611169399999,545.005049199999,-16639,17140.6111694,17184.0050492
"203","P06",2,"P06 Baseline","Baseline",558.986035299999,584.061368299999,-16639,17197.9860353,17223.0613683
"204","P06",3,"P06 Baseline","Baseline",608.3693618,664.4428818,-16639,17247.3693618,17303.4428818
"205","P06",4,"P06 Baseline","Baseline",679.6415767,739.852521299999,-16639,17318.6415767,17378.8525213
"206","P06",5,"P06 Baseline","Baseline",753.766915999999,777.4907415,-16639,17392.766916,17416.4907415
"207","P06",6,"P06 Baseline","Baseline",789.5529974,831.8291123,-16639,17428.5529974,17470.8291123
"208","P06",7,"P06 Baseline","Baseline",845.092520299999,877.5422337,-16639,17484.0925203,17516.5422337
"209","P06",8,"P06 GemsCued","GemsCued",1178.0299718,1212.7654253,-15909,17087.0299718,17121.7654253
"210","P06",9,"P06 GemsCued","GemsCued",1233.135816,1249.4690967,-15909,17142.135816,17158.4690967
"211","P06",10,"P06 GemsCued","GemsCued",1267.1703149,1308.9960871,-15909,17176.1703149,17217.9960871
"212","P06",11,"P06 GemsCued","GemsCued",1320.4910923,1362.2167007,-15909,17229.4910923,17271.2167007
